Employee #,Last Name,First Name,Birthday,Phone Number,SSS #,PhilHealth #,TIN #,Pag-IBIG #,Status,Position,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,Immediate Supervisor,Address
10012,Lopez,Josie,1/14/1987,478-355-427,44-8563448-3,431709011012,218-489-737-000,113071293354,Regular,Payroll Team Leader,38475.00,1500.00,800.00,800.00,19238.00,229.00,Anthony Salcedo,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro
10013,Farala,Martha,1/11/1942,329-034-366,45-5656375-0,233693897247,210-835-851-000,631130283546,Regular,Payroll Rank and File,24000.00,1500.00,500.00,500.00,12000.00,143.00,Anthony Salcedo,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte
10014,Martinez,Leila,7/11/1970,877-110-749,27-2090996-4,515741057496,275-792-513-000,101205445886,Regular,Payroll Rank and File,24000.00,1500.00,500.00,500.00,12000.00,143.00,Anthony Salcedo,37/46 Kulas Roads Maragondon 0962 Quirino
10015,Romualdez,Fredrick,3/10/1985,023-079-009,26-8768374-1,308366860059,598-065-761-000,223057707853,Regular,Account Manager,53500.00,1500.00,1000.00,1000.00,26750.00,318.00,Antonio Lim,22A/52 Lubowitz Meadows Pililla 4895 Zambales
10016,Mata,Christian,10/21/1987,783-776-744,49-2959312-6,824187961962,103-100-522-000,631052853464,Regular,Account Team Leader,42975.00,1500.00,800.00,800.00,21488.00,256.00,Fredrick Romualdez,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu
10017,De Leon,Selena,2/20/1975,975-432-139,27-2090208-8,587272469938,482-259-498-000,719007608464,Regular,Account Team Leader,41850.00,1500.00,800.00,800.00,20925.00,249.00,Fredrick Romualdez,89A Armstrong Trace Compostela 7874 Maguindanao
10018,San Jose,Allison,6/24/1986,179-075-129,45-3251383-0,745148459521,121-203-336-000,114901859343,Regular,Account Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Christian Mata,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union
10019,Rosario,Cydney,10/6/1996,868-819-912,49-1629900-2,579253435499,122-244-511-000,265104358643,Regular,Account Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Christian Mata,93A/21 Berge Points Tapaz 2180 Quezon
10020,Bautista,Mark,2/12/1991,683-725-348,49-1647342-5,399665157135,273-970-941-000,260054585575,Regular,Account Rank and File,23250.00,1500.00,500.00,500.00,11625.00,138.00,Christian Mata,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino
10021,Lazaro,Darlene,11/25/1985,740-721-558,45-5617168-2,606386917510,354-650-951-000,104907708845,Probationary,Account Rank and File,23250.00,1500.00,500.00,500.00,11625.00,138.00,Christian Mata,47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino
10022,Delos Santos,Kolby,2/26/1980,739-443-033,52-0109570-6,357451271274,187-500-345-000,113017988667,Probationary,Account Rank and File,24000.00,1500.00,500.00,500.00,12000.00,143.00,Christian Mata,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur
10023,Santos,Vella,12/31/1983,955-879-269,52-9883524-3,548670482885,101-558-994-000,360028104576,Probationary,Account Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Christian Mata,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur
10024,Del Rosario,Tomas,12/18/1978,882-550-989,45-5866331-6,953901539995,560-735-732-000,913108649964,Probationary,Account Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Christian Mata,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque
10025,Tolentino,Jacklyn,5/19/1984,675-757-366,47-1692793-0,753800654114,841-177-857-000,210546661243,Probationary,Account Rank and File,24000.00,1500.00,500.00,500.00,12000.00,143.00,Selena De Leon,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao
10026,Gutierrez,Percival,12/18/1970,512-899-876,40-9504657-8,797639382265,502-995-671-000,210897095686,Probationary,Account Rank and File,24750.00,1500.00,500.00,500.00,12375.00,147.00,Selena De Leon,58A Wilderman Walks Poblacion Digos 5822 Davao del Sur
10027,Manalaysay,Garfield,8/28/1986,948-628-136,45-3298166-4,810909286264,336-676-445-000,211274476563,Probationary,Account Rank and File,24750.00,1500.00,500.00,500.00,12375.00,147.00,Selena De Leon,60 Goyette Valley Suite 219 Poblacion Tabuk 3159 Lanao del Sur
10028,Villegas,Lizeth,12/12/1981,332-372-215,40-2400719-4,934389652994,210-395-397-000,122238077997,Probationary,Account Rank and File,24000.00,1500.00,500.00,500.00,12000.00,143.00,Selena De Leon,66/77 Mann Views Luisiana 1263 Dinagat Islands
10029,Ramos,Carol,8/20/1978,250-700-389,60-1152206-4,351830469744,395-032-717-000,212141893454,Probationary,Account Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Selena De Leon,72/70 Stamm Spurs Bustos 4550 Iloilo
10030,Maceda,Emelia,4/14/1973,973-358-041,54-1331005-0,465087894112,215-973-013-000,515012579765,Probationary,Account Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Selena De Leon,50A/83 Bahringer Oval Suite 145 Kiamba 7688 Nueva Ecija
10031,Aguilar,Delia,1/27/1989,529-705-439,52-1859253-1,136451303068,599-312-588-000,110018813465,Probationary,Account Rank and File,22500.00,1500.00,500.00,500.00,11250.00,134.00,Selena De Leon,95 Cremin Junction Surallah 2809 Cotabato
10032,Castro,John Rafael,2/9/1992,332-424-955,26-7145133-4,601644902402,404-768-309-000,697764069311,Regular,Sales & Marketing,52670.00,1500.00,1000.00,1000.00,26335.00,314.00,Isabella Reyes,Hi-way Yati Liloan Cebu
10033,Martinez,Carlos Ian,11/16/1990,078-854-208,11-5062972-7,380685387212,256-436-296-000,993372963726,Regular,Supply Chain and Logistics,52670.00,1500.00,1000.00,1000.00,26335.00,314.00,Isabella Reyes,Bulala Camalaniugan
10034,Santos,Beatriz,8/7/1990,526-639-511,20-2987501-5,918460050077,911-529-713-000,874042259378,Regular,Customer Service and Relations,52670.00,1500.00,1000.00,1000.00,26335.00,314.00,Isabella Reyes,Agapita Building Metro Manila
10035,Cotoner,Daniel Neelsen,01/01/2020,09558392751,0987654321098765,0987654321098765,0987654321098765,0987654321098765,Regular,Sales Representative,35000.00,,,,,410.00,,
10036,Cotoner,Daniel,02/02/2020,1234567234,123456782345,123456782345,123456782345,123445678342,Probational,Sales Representative,40000.00,,,,,390.00,,
